iso3c,year,degree,strength,eigen,betweenness,closeness,local_clustering,network_density,network_clustering,network_components
IRQ,2020,0.12121212121212122,6.947173427730818,0.4103161975374607,0.227994227994228,0.12594164262713742,0.3181818181818182,0.0692929292929293,0.5278253968253971,1
ISL,2020,0.0707070707070707,3.1718240913513798,0.038072614489050784,0,0.08714445060055802,0.6666666666666666,0.0692929292929293,0.5278253968253971,1
ISR,2020,0.0707070707070707,3.60504226856912,0.24459348588898983,0.1352298495155638,0.13633085473493256,0.2857142857142857,0.0692929292929293,0.5278253968253971,1
ITA,2020,0.050505050505050504,2.38038388602592,0.0688597322774823,0,0.1162622304999165,0.5,0.0692929292929293,0.5278253968253971,1
JOR,2020,0.0707070707070707,3.8625467730740684,0.13191284836694617,0,0.12359313791090304,0.6190476190476191,0.0692929292929293,0.5278253968253971,1
JPN,2020,0.050505050505050504,1.4473933806906398,0.059642598620376665,0.001443001443001443,0.08257578592833634,0.7,0.0692929292929293,0.5278253968253971,1
KAZ,2020,0.06060606060606061,2.754716160462701,0.4700796210678203,0,0.11339571617217371,0.6666666666666667,0.0692929292929293,0.5278253968253971,1
KEN,2020,0.08080808080808081,4.707491029525085,0.10389742741930695,0.002886002886002886,0.08499016471328413,0.4642857142857143,0.0692929292929293,0.5278253968253971,1
KHM,2020,0.050505050505050504,3.1543993213352657,0.20906895844495546,0.012368583797155226,0.11659337853081807,0.6,0.0692929292929293,0.5278253968253971,1
KOR,2020,0.050505050505050504,1.4683429130908423,0.15574456711860846,4.1228612657184083e-4,0.09051689703913823,0.5,0.0692929292929293,0.5278253968253971,1
KWT,2020,0.0707070707070707,3.186000729944904,0.07328177399702061,0.03360131931560503,0.13096370029416204,0.4761904761904762,0.0692929292929293,0.5278253968253971,1
LAO,2020,0.050505050505050504,2.734386985330522,0.11043668684527463,0,0.09324083752951551,0.6,0.0692929292929293,0.5278253968253971,1
LKA,2020,0.050505050505050504,2.2969455374528547,0.09770536469437728,0.049886621315192746,0.10682840919111439,0.5,0.0692929292929293,0.5278253968253971,1
LTU,2020,0.06060606060606061,3.162736943572113,0.5619128807559067,0.011337868480725623,0.12453238190638917,0.6666666666666667,0.0692929292929293,0.5278253968253971,1
LUX,2020,0.050505050505050504,1.555512371481704,0.012400610608927816,0.022263450834879406,0.09413361985426599,0.4,0.0692929292929293,0.5278253968253971,1
LVA,2020,0.08080808080808081,4.369621559996217,0.732775139999499,0.13069470212327355,0.14285328210393067,0.5357142857142857,0.0692929292929293,0.5278253968253971,1
MAR,2020,0.050505050505050504,2.5363069636295696,0.21476903456632943,0,0.11542418840851115,0.7,0.0692929292929293,0.5278253968253971,1
MEX,2020,0.06060606060606061,3.3853856890461818,0.21448022345332304,0.06926406926406926,0.13190295107788177,0.4,0.0692929292929293,0.5278253968253971,1
MLT,2020,0.0707070707070707,3.3822080614750973,0.1891488864137941,0.032158317872603585,0.11858324598845284,0.2857142857142857,0.0692929292929293,0.5278253968253971,1
MMR,2020,0.10101010101010101,5.614521019094078,0.23593391749831702,0.1414141414141414,0.10963348195764383,0.26666666666666666,0.0692929292929293,0.5278253968253971,1
MNG,2020,0.050505050505050504,1.9361386378527103,0.25086311511785786,0,0.11569963822441663,0.5,0.0692929292929293,0.5278253968253971,1
MYS,2020,0.050505050505050504,2.7287709473833632,0.12975650281301843,0.022675736961451247,0.13133968000323842,0.6,0.0692929292929293,0.5278253968253971,1
NAM,2020,0.050505050505050504,2.4695432226668146,0.1318149558107782,0.0018552875695732839,0.11743146117354165,0.5,0.0692929292929293,0.5278253968253971,1
NGA,2020,0.08080808080808081,4.904120749248469,0.1433036940603269,0.07792207792207792,0.09501587355929123,0.42857142857142855,0.0692929292929293,0.5278253968253971,1
NLD,2020,0.10101010101010101,5.032318618007466,0.064151980626051,0.0074211502782931356,0.09045416753671669,0.48888888888888893,0.0692929292929293,0.5278253968253971,1
NOR,2020,0.0707070707070707,2.842658593492111,0.02949458649636356,0.006596578025149453,0.08558687457835432,0.4761904761904762,0.0692929292929293,0.5278253968253971,1
NPL,2020,0.050505050505050504,2.6800567200089995,0.14259806132926614,0.042053184910327765,0.10644968487967847,0.4,0.0692929292929293,0.5278253968253971,1
