iso_o,iso_d,dist,distw,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,log_dist,historical_tie,common_language
AGO,ZMB,1791.822,1683.337,1,0,0,0,0,0,0,0,7.490988258244146,0,0
AGO,ZWE,2170.012,2048.661,0,0,0,0,0,0,0,0,7.682487976473133,0,0
ARE,AGO,5805.255,5939.363,0,0,0,0,0,0,0,0,8.66651882081578,0,0
ARE,ARG,13557.2,13816.55,0,0,0,0,0,0,0,0,9.514673050496942,0,0
ARE,AUS,12092.16,11543.81,0,0,0,0,0,0,0,0,9.40031258770066,0,0
ARE,AUT,4245.842,4324.891,0,0,0,0,0,0,0,0,8.353695430077666,0,0
ARE,AZE,1819.476,1815.17,0,0,0,0,0,0,0,0,7.506303826528287,0,0
ARE,BEL,5159.97,5173.252,0,0,0,0,0,0,0,0,8.548686044505219,0,0
ARE,BGD,3643.561,3561.531,0,0,0,0,1,0,0,0,8.200716779113732,1,0
ARE,BGR,3493.288,3398.117,0,0,0,0,0,0,0,0,8.158598692023483,0,0
ARE,BOL,14022.32,13910.87,0,0,0,0,0,0,0,0,9.548405624787355,0,0
ARE,BRA,12129.45,11848.63,0,0,0,0,0,0,0,0,9.403391658783153,0,0
ARE,BWA,6280.032,6235.949,0,0,0,0,1,0,0,0,8.745130354990664,1,0
ARE,CAN,11105.9,11074.93,0,0,0,0,0,0,0,0,9.31523177761911,0,0
ARE,CHE,4830.737,4831.203,0,0,0,0,0,0,0,0,8.482754322997973,0,0
ARE,CHL,14654.8,14768.76,0,0,0,0,0,0,0,0,9.592523205832489,0,0
ARE,CHN,5966.427,5975.254,0,0,0,0,0,0,0,0,8.693903534756231,0,0
ARE,CMR,5133.86,5130.822,0,0,0,0,0,0,0,0,8.543613091873455,0,0
ARE,COL,13680.45,13629.92,0,0,0,0,0,0,0,0,9.523723085372364,0,0
ARE,CRI,14115.79,14153.27,0,0,0,0,0,0,0,0,9.555049307948883,0,0
ARE,CYP,2348.921,2381.657,0,0,0,0,1,0,0,0,7.7617113527608845,1,0
ARE,CZE,4461.374,4388.648,0,0,0,0,0,0,0,0,8.40321206931863,0,0
ARE,DEU,5004.562,4823.589,0,0,0,0,0,0,0,0,8.518105175432368,0,0
ARE,DNK,4849.585,4918.476,0,0,0,0,0,0,0,0,8.486648413260154,0,0
ARE,DOM,12322.73,12368.68,0,0,0,0,0,0,0,0,9.419200803448962,0,0
