iso3c,country,year,SH.XPD.CHEX.GD.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.MED.BEDS.ZS,SP.DYN.LE00.IN,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,SE.ADT.LITR.ZS,IT.NET.USER.ZS,GB.XPD.RSDV.GD.ZS,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes.x,degree,strength,eigen,betweenness,closeness,local_clustering,network_density,network_clustering,network_components,life_expectancy,health_spending,physicians,nurses,hospital_beds,internet,gdp_pc_ppp,population,l_life_expectancy,l_degree,l_strength,l_eigen,l_network_density,l_network_clustering,GHED_EXTCHE_SHA2011,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_RMNCH,SDGIHR,UHC_IHR,SDGIHR2018,SDGIHR2021,UHC_AVAILABILITY_SCORE,un_degree,un_strength,un_eigen,un_betweenness,un_closeness,un_local_clustering,un_network_density,un_network_clustering,un_network_components,notes.y,un_votes_total,un_votes_yes,un_votes_no,un_votes_abstain,un_yes_share,un_no_share,un_abstain_share,l_un_eigen,l_un_degree,l_un_strength,l_UHC_INDEX_REPORTED,l_SDGIHR2021,l_GHED_EXTCHE_SHA2011
ITA,Italy,2013,8.7897644,3.873,5.293,3.29,82.690243902439,46833.3615309303,60311613,NA,58.4593,1.29425,Italy,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,4.015637023511625,0.00139798892238118,0.02432488146773861,0.11882824848351436,0.6071428571428571,0.0707070707070707,0.5518717393717393,1,82.690243902439,8.7897644,3.873,5.293,3.29,58.4593,46833.3615309303,60311613,82.2390243902439,0.08080808080808081,3.9372695897660193,0.00593521302673424,0.0703030303030303,0.5691846486846484,0,81,94,100,61,77,NA,NA,NA,NA,NA,0.16161616161616163,14.648937138534244,0.5120997709049784,0.00389610389610389,0.5696313733892907,0.5416666666666666,0.14626262626262626,0.5773661662176333,2,NA,64,39,13,12,0.609375,0.203125,0.1875,0,0.1919191919191919,17.920352178275323,81,NA,0
ITA,Italy,2014,8.85913563,3.888,5.544,3.22,83.090243902439,46825.6511245062,60320707,NA,55.6384602242293,1.33148,Italy,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,3.8078903927921983,9.739133954227332e-4,0,0.11934289618189056,0.5714285714285714,0.0707070707070707,0.5188569763569765,1,83.090243902439,8.85913563,3.888,5.544,3.22,55.6384602242293,46825.6511245062,60320707,82.690243902439,0.08080808080808081,4.015637023511625,0.00139798892238118,0.0707070707070707,0.5518717393717393,0,82,95,100,61,78,NA,NA,NA,NA,NA,0.18181818181818185,16.9745625465376,1.7288310678178125e-15,0.00646602075173503,0.5910976655327647,0.5228758169934641,0.1480808080808081,0.5685760723090215,2,NA,80,52,12,16,0.65,0.15,0.2,0.5120997709049784,0.16161616161616163,14.648937138534244,81,NA,0
ITA,Italy,2015,8.84596729,3.848,5.716,3.2,82.5439024390244,47311.8255262709,60229605,NA,58.1417349568747,1.33213,Italy,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,3.740684732054066,0.01106108489167274,0,0.11846395891839225,0.6071428571428571,0.0694949494949495,0.5312016317016317,1,82.5439024390244,8.84596729,3.848,5.716,3.2,58.1417349568747,47311.8255262709,60229605,83.090243902439,0.08080808080808081,3.8078903927921983,9.739133954227332e-4,0.0707070707070707,0.5188569763569765,0,82,96,100,62,78,NA,NA,NA,NA,NA,0.13131313131313133,11.941834481308168,0,0.00247371675943104,0.5335843844930762,0.5512820512820512,0.1480808080808081,0.567153062995985,2,NA,78,44,15,19,0.5641025641025641,0.19230769230769232,0.2435897435897436,1.7288310678178125e-15,0.18181818181818185,16.9745625465376,82,NA,0
ITA,Italy,2016,8.72043991,3.963,5.854,3.18,83.2439024390244,47987.8379581014,60115223,NA,61.3242527666303,1.35915,Italy,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,3.71764832391323,0.00171695567257745,0.00391671820243248,0.12105372792368164,0.6071428571428571,0.0707070707070707,0.5094756909756909,1,83.2439024390244,8.72043991,3.963,5.854,3.18,61.3242527666303,47987.8379581014,60115223,82.5439024390244,0.08080808080808081,3.740684732054066,0.01106108489167274,0.0694949494949495,0.5312016317016317,0,83,97,100,62,78,90,90,NA,NA,NA,0.101010101010101,9.3375,0.4883345144788514,0,0.5076059249222654,0.8666666666666667,0.14727272727272728,0.5836588265094463,3,NA,81,51,15,14,0.6296296296296297,0.18518518518518515,0.1728395061728395,0,0.13131313131313133,11.941834481308168,82,NA,0
ITA,Italy,2017,8.69060516,3.999,6.089,3.19,82.9463414634147,48849.2183534756,60002252,NA,63.0773469984291,1.36393,Italy,Global North,Europe,yes,NA,NA,NA,0.0707070707070707,3.2211970370838316,2.866648787758529e-4,0.02350030921459493,0.12046512218345846,0.5238095238095238,0.07131313131313131,0.515988566988567,1,82.9463414634147,8.69060516,3.999,6.089,3.19,63.0773469984291,48849.2183534756,60002252,83.2439024390244,0.08080808080808081,3.71764832391323,0.00171695567257745,0.0707070707070707,0.5094756909756909,0,83,96,100,62,78,NA,NA,NA,NA,NA,0.1919191919191919,17.862055999947252,0,0.00611557754414897,0.5952611936987914,0.5146198830409356,0.15515151515151515,0.5244679341559909,2,NA,94,55,15,24,0.5851063829787234,0.1595744680851064,0.2553191489361702,0.4883345144788514,0.101010101010101,9.3375,83,NA,0
ITA,Italy,2018,8.65467453,3.987,6.035,3.15,83.3463414634146,49133.143527174,60148658,NA,74.3871829234822,1.41934,Italy,Global North,Europe,yes,NA,NA,NA,0.0707070707070707,3.594840808232803,0.00761206269529795,0.03566274994846423,0.1176149158694069,0.6190476190476191,0.0698989898989899,0.5123425463425463,1,83.3463414634146,8.65467453,3.987,6.035,3.15,74.3871829234822,49133.143527174,60148658,82.9463414634147,0.0707070707070707,3.2211970370838316,2.866648787758529e-4,0.07131313131313131,0.515988566988567,0,83,95,100,63,79,NA,NA,85,NA,NA,0.15151515151515152,13.864386057720568,2.5934820380616615e-16,2.061430632859204e-4,0.5480265075795672,0.619047619047619,0.1541414141414141,0.5837201396663696,2,NA,107,69,18,20,0.6448598130841121,0.16822429906542055,0.18691588785046728,0,0.1919191919191919,17.862055999947252,83,NA,0
ITA,Italy,2019,8.61536789,4.024,6.402,3.14,83.4975609756098,49690.6298505274,59729081,99.3499984741211,67.8507102874836,1.45558,Italy,Global North,Europe,yes,NA,NA,NA,0.06060606060606061,2.8738211526720145,0.04837815150626337,0,0.1133326424049199,0.7333333333333333,0.07010101010101011,0.5263535353535355,1,83.4975609756098,8.61536789,4.024,6.402,3.14,67.8507102874836,49690.6298505274,59729081,83.3463414634146,0.0707070707070707,3.594840808232803,0.00761206269529795,0.0698989898989899,0.5123425463425463,0,83,95,100,63,79,NA,NA,86,NA,NA,0.1919191919191919,17.91309420737992,3.606318055697517e-15,0.00316086030371744,0.5950153522187204,0.5906432748538012,0.15515151515151515,0.5745765785824234,2,NA,100,55,17,28,0.55,0.17,0.28,2.5934820380616615e-16,0.15151515151515152,13.864386057720568,83,NA,0
ITA,Italy,2020,9.5643034,3.97,6.515,3.16,82.1951219512195,45505.0688708956,59438851,NA,70.48342785,1.49869,Italy,Global North,Europe,yes,NA,NA,NA,0.0505050505050505,2.38038388602592,0.0688597322774823,0,0.1162622304999165,0.5,0.0692929292929293,0.5278253968253971,1,82.1951219512195,9.5643034,3.97,6.515,3.16,70.48342785,45505.0688708956,59438851,83.4975609756098,0.06060606060606061,2.8738211526720145,0.04837815150626337,0.07010101010101011,0.5263535353535355,0,83,94,100,63,80,NA,NA,83,NA,NA,0.16161616161616163,14.676666666666668,8.918476810390644e-16,0.00695389266817838,0.5489400442356667,0.5416666666666666,0.15393939393939393,0.5619930364020704,2,NA,100,65,16,19,0.65,0.16,0.19,3.606318055697517e-15,0.1919191919191919,17.91309420737992,83,NA,0
ITA,Italy,2021,9.28164482,4.064,6.434,3.09,82.6463414634146,49825.3934111848,59133173,NA,74.8623274,1.41065,Italy,Global North,Europe,yes,NA,NA,NA,0.0505050505050505,2.533370254300831,0.06066342618620484,0,0.12978201784935753,0.7,0.0692929292929293,0.5189184704184704,1,82.6463414634146,9.28164482,4.064,6.434,3.09,74.8623274,49825.3934111848,59133173,82.1951219512195,0.0505050505050505,2.38038388602592,0.0688597322774823,0.0692929292929293,0.5278253968253971,0,82,90,100,63,80,NA,NA,NA,72,NA,0.1414141414141414,12.948611111111113,9.994620009821735e-16,0.00267985982271696,0.5527842923792257,0.6593406593406593,0.15838383838383838,0.5698327018659896,2,NA,86,47,18,16,0.5465116279069767,0.20930232558139536,0.18604651162790695,8.918476810390644e-16,0.16161616161616163,14.676666666666668,83,NA,0
ITA,Italy,2022,8.85022926,4.191,6.755,3.06,82.7,52333.3274270604,59013667,NA,85.06074504,1.36563,Italy,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,4.005166956586408,0.04975876511908883,0.18181818181818185,0.13549260901166582,0.42857142857142855,0.0696969696969697,0.5222475302475303,1,82.7,8.85022926,4.191,6.755,3.06,85.06074504,52333.3274270604,59013667,82.6463414634146,0.0505050505050505,2.533370254300831,0.06066342618620484,0.0692929292929293,0.5189184704184704,0,82,89,100,63,80,NA,NA,NA,70,NA,0.2222222222222222,20.503830439223695,0.742839176832884,0.00762729334157905,0.6406670788883636,0.49783549783549785,0.14949494949494951,0.5797473993311509,2,NA,89,56,21,12,0.6292134831460674,0.23595505617977527,0.1348314606741573,9.994620009821735e-16,0.1414141414141414,12.948611111111113,82,72,0
ITA,Italy,2023,8.40559483,4.191,6.755,3.06,83.3512195121951,52870.3261442897,58984216,NA,87.0278292,1.37935,Italy,Global North,Europe,yes,NA,NA,NA,0.0707070707070707,3.8177284316951874,0.01843693647953862,0.04143475572047001,0.12484731875660356,0.4285714285714286,0.0703030303030303,0.5162481407481407,1,83.3512195121951,8.40559483,4.191,6.755,3.06,87.0278292,52870.3261442897,58984216,82.7,0.08080808080808081,4.005166956586408,0.04975876511908883,0.0696969696969697,0.5222475302475303,0,82,89,100,63,81,NA,NA,NA,70.7333,77,0.1717171717171717,15.878145552892004,0,0.00252525252525252,0.5780486697620754,0.5735294117647058,0.1507070707070707,0.5527544662005557,2,NA,88,51,21,16,0.5795454545454546,0.23863636363636365,0.18181818181818185,0.742839176832884,0.2222222222222222,20.503830439223695,82,70,0
ITA,Italy,2024,8.44437313,4.191,6.755,3.06,83.9512195121951,53265.0032474189,58952704,NA,89.2207202,NA,Italy,Global North,Europe,yes,NA,NA,NA,0.0707070707070707,3.945938988931887,0.01029058693586622,0.01710987425273139,0.12258663923438363,0.5238095238095238,0.0707070707070707,0.520127705627706,1,83.9512195121951,8.44437313,4.191,6.755,3.06,89.2207202,53265.0032474189,58952704,83.3512195121951,0.0707070707070707,3.8177284316951874,0.01843693647953862,0.0703030303030303,0.5162481407481407,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,0.21212121212121213,19.113997760358338,0,0.00316086030371744,0.6062444434503598,0.5,0.15313131313131317,0.5615596418994362,2,NA,95,56,21,18,0.5894736842105263,0.22105263157894736,0.18947368421052632,0,0.1717171717171717,15.878145552892004,82,70.7333,0
JOR,Jordan,2004,8.74670506,1.938,3.094,1.67,72.788,9326.66839127919,5882061,NA,11.6587413706379,NA,Jordan,Global South,Middle East & North Africa,yes,NA,NA,NA,0.08080808080808081,3.5981424123694032,0.11908433317009752,0.02762317048031333,0.12834771983110205,0.3928571428571429,0.0703030303030303,0.5013412698412696,1,72.788,8.74670506,1.938,3.094,1.67,11.6587413706379,9326.66839127919,5882061,NA,NA,NA,NA,NA,NA,14.24657536,75,87,99,52,72,NA,NA,NA,NA,NA,0.18181818181818185,16.9974248149507,0,0.00917336631622346,0.5628306611482925,0.4313725490196078,0.15393939393939393,0.5900062761855849,2,NA,73,69,1,2,0.9452054794520548,0.0136986301369863,0.0273972602739726,NA,NA,NA,NA,NA,NA
JOR,Jordan,2005,8.49441624,2.141,2.89,1.68,72.977,9839.68834968723,6029587,91.129997253418,12.93290043,NA,Jordan,Global South,Middle East & North Africa,yes,NA,NA,NA,0.0707070707070707,3.218123877843242,0.23518488618130573,0.02865388579674294,0.12500760527255506,0.5238095238095238,0.07010101010101011,0.5399432234432231,1,72.977,8.49441624,2.141,2.89,1.68,12.93290043,9839.68834968723,6029587,72.788,0.08080808080808081,3.5981424123694032,0.11908433317009752,0.0703030303030303,0.5013412698412696,2.90771174,75,87,98,52,72,NA,NA,NA,NA,NA,0.18181818181818185,17.203211160961995,0,0.00453514739229024,0.562428868751025,0.4509803921568627,0.15313131313131317,0.6098658794170678,2,NA,75,68,2,3,0.9066666666666666,0.02666666666666667,0.04,0,0.18181818181818185,16.9974248149507,75,NA,14.24657536
JOR,Jordan,2006,7.67925692,2.136,3.083,1.71,73.225,9977.75903329275,6427371,NA,13.86709976,NA,Jordan,Global South,Middle East & North Africa,yes,NA,NA,NA,0.0707070707070707,3.4153157554043956,0.2801061907089166,0.2523191094619666,0.13288785774656436,0.5238095238095238,0.0698989898989899,0.5350836940836942,1,73.225,7.67925692,2.136,3.083,1.71,13.86709976,9977.75903329275,6427371,72.977,0.0707070707070707,3.218123877843242,0.23518488618130573,0.07010101010101011,0.5399432234432231,5,76,89,98,53,72,NA,NA,NA,NA,NA,0.1111111111111111,10.611538407001577,2.1716737851140844e-15,0.00329828901257472,0.5256053646736099,0.509090909090909,0.1496969696969697,0.5817354365182462,2,NA,101,91,0,6,0.900990099009901,0,0.0594059405940594,0,0.18181818181818185,17.203211160961995,75,NA,2.90771174
