iso3c,country,year,SH.XPD.CHEX.GD.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.MED.BEDS.ZS,SP.DYN.LE00.IN,NY.GDP.PCAP.PP.KD,SP.POP.TOTL,SE.ADT.LITR.ZS,IT.NET.USER.ZS,GB.XPD.RSDV.GD.ZS,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,degree,strength,eigen,betweenness,closeness,local_clustering,network_density,network_clustering,network_components,life_expectancy,health_spending,physicians,nurses,hospital_beds,internet,gdp_pc_ppp,population,l_life_expectancy,l_degree,l_strength,l_eigen,l_network_density,l_network_clustering
CYP,Cyprus,2004,5.4055814700000004,1.898,3.19,2.74,79.007,40020.08984375,1017875,NA,33.83,0.33564,Cyprus,Global North,Europe,yes,NA,NA,NA,0.0707070707070707,2.7725337471008995,0.11156320011224366,0.09400123685837972,0.12977855061263052,0.38095238095238093,0.0703030303030303,0.5013412698412696,1,79.007,5.4055814700000004,1.898,3.19,2.74,33.83,40020.08984375,1017875,NA,NA,NA,NA,NA,NA
CYP,Cyprus,2005,5.43580961,1.881,2.988,2.74,79.198,41362.265625,1036151,NA,32.81,0.36727,Cyprus,Global North,Europe,yes,NA,NA,NA,0.06060606060606061,2.5067399664154046,0.17608770389577844,0.017109874252731395,0.11152582556312414,0.4666666666666667,0.07010101010101011,0.5399432234432231,1,79.198,5.43580961,1.881,2.988,2.74,32.81,41362.265625,1036151,79.007,0.0707070707070707,2.7725337471008995,0.11156320011224366,0.0703030303030303,0.5013412698412696
CYP,Cyprus,2006,5.46357489,1.822,3.298,2.71,79.456,42595.37890625,1054418,NA,35.83,0.38346,Cyprus,Global North,Europe,yes,NA,NA,NA,0.0707070707070707,2.872373843264637,0.21935541145296703,0.032158317872603585,0.10630659410877921,0.5238095238095238,0.0698989898989899,0.5350836940836942,1,79.456,5.46357489,1.822,3.298,2.71,35.83,42595.37890625,1054418,79.198,0.06060606060606061,2.5067399664154046,0.17608770389577844,0.07010101010101011,0.5399432234432231
CYP,Cyprus,2007,5.35744858,1.974,3.434,2.72,79.798,43823.94140625,1072714,NA,40.77,0.40007,Cyprus,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,3.2740499882617917,0.0960198560172317,0.3743558029272315,0.14668724322116386,0.2857142857142857,0.0698989898989899,0.549696026196026,1,79.798,5.35744858,1.974,3.434,2.72,40.77,43823.94140625,1072714,79.456,0.0707070707070707,2.872373843264637,0.21935541145296703,0.0698989898989899,0.5350836940836942
CYP,Cyprus,2008,6.01430845,2.007,3.271,2.73,79.906,44295.8125,1091026,NA,42.31,0.38594,Cyprus,Global North,Europe,yes,NA,NA,NA,0.0707070707070707,2.879400991824656,0.13495559652397204,0.07936507936507936,0.1137289284927059,0.3333333333333333,0.07050505050505051,0.5349568209568212,1,79.906,6.01430845,2.007,3.271,2.73,42.31,44295.8125,1091026,79.798,0.08080808080808081,3.2740499882617917,0.0960198560172317,0.0698989898989899,0.549696026196026
CYP,Cyprus,2009,6.46531534,2.046,3.43,2.74,80.375,42253.5625,1109371,NA,49.81,0.44437,Cyprus,Global North,Europe,yes,NA,NA,NA,0.09090909090909091,3.788834324479706,0.028572348124169745,0.2733457019171305,0.14210843334561657,0.3333333333333333,0.0707070707070707,0.5610075480075479,1,80.375,6.46531534,2.046,3.43,2.74,49.81,42253.5625,1109371,79.906,0.0707070707070707,2.879400991824656,0.13495559652397204,0.07050505050505051,0.5349568209568212
CYP,Cyprus,2010,6.50055742,2.127,3.499,2.62,80.632,42102.45703125,1127816,NA,52.99,0.44292,Cyprus,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,3.426724531064743,0.2051126286084589,0.28530199958771385,0.1448513109381783,0.25,0.06888888888888889,0.5486450771450773,1,80.632,6.50055742,2.127,3.499,2.62,52.99,42102.45703125,1127816,80.375,0.09090909090909091,3.788834324479706,0.028572348124169745,0.0707070707070707,0.5610075480075479
CYP,Cyprus,2011,6.43139076,2.206,3.618,2.61,80.855,41212.859375,1146493,98.6800003051758,56.8598923503507,0.45263,Cyprus,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,3.505084711116453,0.25159455181200463,0.25479282622139765,0.14551337774871537,0.25,0.07010101010101011,0.5503687423687423,1,80.855,6.43139076,2.206,3.618,2.61,56.8598923503507,41212.859375,1146493,80.632,0.08080808080808081,3.426724531064743,0.2051126286084589,0.06888888888888889,0.5486450771450773
CYP,Cyprus,2012,6.53638792,2.236,3.523,2.57,81.128,39190.3828125,1165397,NA,60.6898684001903,0.43765,Cyprus,Global North,Europe,yes,NA,NA,NA,0.0707070707070707,3.31896051296638,0.23240628468338817,0.4308390022675737,0.1440050515639,0.3333333333333333,0.0703030303030303,0.5691846486846484,1,81.128,6.53638792,2.236,3.523,2.57,60.6898684001903,39190.3828125,1165397,80.855,0.08080808080808081,3.505084711116453,0.25159455181200463,0.07010101010101011,0.5503687423687423
CYP,Cyprus,2013,6.92774534,2.326,3.734,2.48,81.317,36650.72265625,1183895,NA,65.4548,0.48485,Cyprus,Global North,Europe,yes,NA,NA,NA,0.08080808080808081,3.6882042498601977,0.04692566990737751,0.1888270459699031,0.14329324296805276,0.32142857142857145,0.0707070707070707,0.5518717393717393,1,81.317,6.92774534,2.326,3.734,2.48,65.4548,36650.72265625,1183895,81.128,0.0707070707070707,3.31896051296638,0.23240628468338817,0.0703030303030303,0.5691846486846484
CYP,Cyprus,2014,6.93137264,2.396,3.752,2.42,81.337,36105.05078125,1201801,NA,69.3286967086473,0.51205,Cyprus,Global North,Europe,yes,NA,NA,NA,0.050505050505050504,2.533128464423224,0.026596309661648353,0.07915893630179345,0.13925954983836536,0.3,0.0707070707070707,0.5188569763569765,1,81.337,6.93137264,2.396,3.752,2.42,69.3286967086473,36105.05078125,1201801,81.317,0.08080808080808081,3.6882042498601977,0.04692566990737751,0.0707070707070707,0.5518717393717393
