iso3c,country,year,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,indicator,value
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,15.95227051
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,11
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.86
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.7414634146342
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,61958.7234416953
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,316726282
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,71.4
USA,United States,2013,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.69591
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.1415844
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,11.06
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.79
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.8414634146341
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,63018.8033942192
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,319257560
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,73
USA,United States,2014,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.70882
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.40155411
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,11.17
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.75
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,78.690243902439
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,64359.4725899466
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,321815121
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,74.5542024462761
USA,United States,2015,United States,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,2.77328
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,16.69203949
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,11.46
USA,United States,2016,United States,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.72
