iso3c,year,indicator_code,value,value_text,parent_location,parent_location_code,indicator_label,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes
AGO,2012,UHC_SCI_NCD,58,58,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2012,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2013,GHED_EXTCHE_SHA2011,2.56596041,2.57,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2013,SDGIHR,41,41,Africa,AFR,Average of 13 International Health Regulations core capacity scores,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2013,UHC_IHR,41,41,Africa,AFR,Compliance with international health regulations,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2013,UHC_INDEX_REPORTED,37,37,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2013,UHC_SCI_CAPACITY,31,31,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2013,UHC_SCI_INFECT,24,24,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2013,UHC_SCI_NCD,59,59,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2013,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2014,GHED_EXTCHE_SHA2011,3.17014694,3.17,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2014,SDGIHR,18,18,Africa,AFR,Average of 13 International Health Regulations core capacity scores,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2014,UHC_IHR,18,18,Africa,AFR,Compliance with international health regulations,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2014,UHC_INDEX_REPORTED,37,37,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2014,UHC_SCI_CAPACITY,23,23,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2014,UHC_SCI_INFECT,32,32,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2014,UHC_SCI_NCD,59,59,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2014,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2015,GHED_EXTCHE_SHA2011,2.67032242,2.67,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2015,UHC_INDEX_REPORTED,39,39,Africa,AFR,UHC service coverage index,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2015,UHC_SCI_CAPACITY,29,29,Africa,AFR,UHC service coverage sub-index on service capacity and access,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2015,UHC_SCI_INFECT,31,31,Africa,AFR,UHC service coverage sub-index on infectious diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2015,UHC_SCI_NCD,59,59,Africa,AFR,UHC service coverage sub-index on noncommunicable diseases,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2015,UHC_SCI_RMNCH,45,45,Africa,AFR,"UHC service coverage sub-index on reproductive, maternal, newborn and child health",Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
AGO,2016,GHED_EXTCHE_SHA2011,3.64164376,3.64,Africa,AFR,External health expenditure as percentage of current health expenditure,Angola,Global South,Sub-Saharan Africa,yes,NA,NA,NA
