iso3c,year,iv_distance_weighted_peer_eigen,iv_language_peer_eigen,iv_historical_peer_eigen,iv_contiguous_peer_eigen
PRT,2004,0.22379294161545474,0.3104049305579648,0.3104049305579648,9.865962597611785e-4
PRT,2005,0.19562759224885304,0.21372471661052522,0.21372471661052522,0.00109984740055323
PRT,2006,0.2700273172160576,0.36042041921884843,0.36042041921884843,0.00354354106238303
PRT,2007,0.1766457512237965,0.1610002632813839,0.1610002632813839,0.00314710811414043
PRT,2008,0.15145700093583928,0.09401702230860302,0.09401702230860302,4.145262581432268e-4
PRT,2009,0.13361727760318695,0.3343289064671807,0.3343289064671807,7.205145775154131e-4
PRT,2010,0.1646831377841499,0.14886346392489677,0.14886346392489677,0.00479610889785751
PRT,2011,0.21258826935901246,0.20381779370886094,0.20381779370886094,0.00688774978603525
PRT,2012,0.15541973106330187,0.1400923892184841,0.1400923892184841,0.00584711211233203
PRT,2013,0.14640381808766453,0.09519148261382213,0.09519148261382213,0.00135718926819675
PRT,2014,0.14931145480634428,0.14217137971724686,0.14217137971724686,9.621840646685746e-4
PRT,2015,0.18569888514055055,0.10170603359561993,0.10170603359561993,0.01137007101678179
PRT,2016,0.16119383383938887,0.27759888820942874,0.27759888820942874,0.0018411490727367
PRT,2017,0.12059652758493375,0.23168489693638636,0.23168489693638636,3.2840827882646607e-4
PRT,2018,0.19676217076974936,0.25712577110156787,0.25712577110156787,0.00785041608061017
PRT,2019,0.24887387797398652,0.3029776912970609,0.3029776912970609,0.05574398697980046
PRT,2020,0.20230440977008418,0.11680038866187978,0.11680038866187978,0.05496964289035051
PRT,2021,0.2174490555734217,0.19727937597278944,0.19727937597278944,0.07121979183245986
PRT,2022,0.1596071253532977,0.15416969496060592,0.15416969496060592,0.05408408941806163
PRT,2023,0.14545913698631416,0.12341012116328179,0.12341012116328179,0.01689833199059199
PRT,2024,0.12856380164283907,0.10600837654869463,0.10600837654869463,0.01200764366261934
PRY,2004,0.2256673367156208,0.2957200526827925,0.20351777136371707,0.30698320941395174
PRY,2005,0.1984922766156032,0.3905464703588575,0.13743435362061168,0.23547063884596287
PRY,2006,0.2741202073697109,0.43492521254936567,0.24707732445483147,0.38777813524932264
PRY,2007,0.17597999793746405,0.27564783729763165,0.11809834895950604,0.1855394331721793
PRY,2008,0.1524270938436459,0.3512787610942616,0.11328587677069699,0.18457906317446904
PRY,2009,0.13571317482118725,0.09270236427090704,0.06263583851652599,0.090259903945052
PRY,2010,0.16779775000035702,0.39609463186401145,0.07791168068971757,0.15938586804307356
PRY,2011,0.21733042981343842,0.4719917754087954,0.10824742446219313,0.2168427451983198
PRY,2012,0.15888233490838408,0.4006092807406475,0.11660244035348613,0.2177581788401421
PRY,2013,0.14884917112359758,0.14980131498154758,0.07945871271456514,0.1149285392415687
PRY,2014,0.15177306626663345,0.11600139694373296,0.058181536269102704,0.08159688761819696
PRY,2015,0.1854513515117595,0.43694399108397813,0.18919907174321865,0.266607683706344
PRY,2016,0.16380049845667652,0.06862248698946723,0.01747840037150557,0.02503910262598517
PRY,2017,0.12254119189866138,0.04174848194331691,0.024116095862168896,0.03237716419154393
PRY,2018,0.19803002734603267,0.15831295445294183,0.06774194446688257,0.08863758698127941
PRY,2019,0.24481046987211083,0.11780395454985573,0.07103568866238964,0.08456714820447248
PRY,2020,0.19776634455943443,0.15991949191556717,0.11098289778751737,0.13740814615414595
PRY,2021,0.21979385171742274,0.3371173832569132,0.1619053325041249,0.2326721174265092
PRY,2022,0.16566181992935472,0.38126474375960107,0.2118869834002674,0.3227234088700187
PRY,2023,0.15035297194036437,0.3475601880379264,0.19621715121028452,0.30710095056076153
PRY,2024,0.13374786327268598,0.3264509685818217,0.182643047281083,0.29658002359566776
QAT,2004,0.2271929546754346,0.31759563421226455,0.2945892667903865,0.050958207307689046
QAT,2005,0.19717497624259642,0.33867892322358106,0.19767907487872033,0.07353303047098063
QAT,2006,0.27363578673789923,0.42090006788832834,0.3175975672762774,0.08199049280528112
QAT,2007,0.17774871247311888,0.36442993293795223,0.1758943555451111,0.04508323494043975
QAT,2008,0.15024416181039352,0.33141914514412923,0.10194894506019428,0.030212462464291944
QAT,2009,0.13722972706928865,0.10433628419904724,0.23998029420692396,0.009441654883482704
QAT,2010,0.16351477420186775,0.26719685048327635,0.14239061973933015,0.05999646502466796
QAT,2011,0.21203814992620143,0.305192083401547,0.2259293201486891,0.06493992599449966
QAT,2012,0.15383337346829404,0.2793825507778489,0.1204627465095659,0.052477490855875164
QAT,2013,0.1492889686874602,0.11719300049930209,0.2613150254232448,0.007803750178820179
QAT,2014,0.15321714118347587,0.11616305278113626,0.2853159160504293,0.00718860466796851
QAT,2015,0.18355566447785845,0.352154777928476,0.15273821090616155,0.034666621440639284
QAT,2016,0.16737688525161462,0.10857114944344771,0.35621679284167085,0.003988064241525215
QAT,2017,0.12522793866278734,0.0779809578342104,0.2639589604922373,0.00281495758326641
QAT,2018,0.20245650636713494,0.22310264202445895,0.37520110689555286,0.018690308622079863
QAT,2019,0.2508055138290845,0.19260337719075302,0.3172984602484162,0.07037821014831688
QAT,2020,0.2016050107029857,0.23630781534190548,0.12457411488417733,0.11476169293400396
QAT,2021,0.219373875541216,0.47346451436434017,0.183077245111406,0.10750688297503425
QAT,2022,0.16043165967292006,0.37642676119587165,0.11465063084840925,0.0552509816615218
QAT,2023,0.14591441355291024,0.40424244233186385,0.08657961785276112,0.032866292161187416
QAT,2024,0.12896990721759258,0.36851194205139504,0.06780157006223314,0.021964387532750998
